Kingdom,KingdomC,Phylum,PhylumC,Class,ClassC,Order,OrderC,Family,FamilyC,Genus,GenusC,Species,ScientificName,CommonNameC,CoaCode,CoaCType
Animalia,動物界,Chordata,脊索動物門,Mammalia,哺乳綱,Insectivora,食蟲目,Soricidae,尖鼠科,Chimarrogale,水麝鼩屬,himalayica,Chimarrogale himalayica,水鼩,III,其它應予保育
Animalia,動物界,Chordata,脊索動物門,Reptilia,爬蟲綱,Testudines,龜鱉目,Cheloniidae,蠵龜科,Chelonia,海龜屬,mydas,Chelonia mydas,綠蠵龜;綠海龜;海龜,I,瀕臨滅絕
Animalia,動物界,Arthropoda,節肢動物門,Insecta,昆蟲綱,Coleoptera,鞘翅目,Scarabaeidae,金龜子科,Cheirotonus,長臂金龜屬,formosanus,Cheirotonus formosanus,長臂金龜;臺灣長臂金龜,III,其它應予保育
Animalia,動物界,Chordata,脊索動物門,Actinopterygii,條鰭魚綱,Perciformes,鱸形目,Labridae,隆頭魚科,Cheilinus,唇魚屬,undulatus,Cheilinus undulatus,曲紋唇魚;波紋唇魚(蘇眉);拿破崙;龍王鯛;海哥龍王;大片仔;石蚱仔;汕散仔;闊嘴郎;波紋鸚鯛,II,珍貴稀有
Animalia,動物界,Chordata,脊索動物門,Reptilia,爬蟲綱,Testudines,龜鱉目,Cheloniidae,蠵龜科,Caretta,蠵龜屬,caretta,Caretta caretta,赤蠵龜;紅海龜;蠵龜,I,瀕臨滅絕
Animalia,動物界,Chordata,脊索動物門,Mammalia,哺乳綱,Artiodactyla,偶蹄目,Bovidae,牛科,Capricornis,鬣羚屬,swinhoei,Capricornis swinhoei,臺灣野山羊;臺灣長鬃山羊,II,珍貴稀有
Animalia,動物界,Arthropoda,節肢動物門,Insecta,昆蟲綱,Coleoptera,鞘翅目,Elateridae,叩頭蟲科,Campsosternus,大青叩頭蟲屬,watanabei,Campsosternus watanabei,虹彩叩頭蟲;渡邊氏大青叩頭蟲,II,珍貴稀有
Animalia,動物界,Chordata,脊索動物門,Aves,鳥綱,Charadriiformes,鴴形目,Scolopacidae,鷸科,Calidris,濱鷸屬,pygmea,Calidris pygmea,琵嘴鷸,II,珍貴稀有
Animalia,動物界,Chordata,脊索動物門,Aves,鳥綱,Accipitriformes,鷹形目,Accipitridae,鷹科,Buteo,鵟屬,lagopus,Buteo lagopus menzbieri,西伯利亞毛足鵟;毛足鵟;毛腳鵟,II,珍貴稀有
Animalia,動物界,Chordata,脊索動物門,Aves,鳥綱,Accipitriformes,鷹形目,Accipitridae,鷹科,Buteo,鵟屬,hemilasius,Buteo hemilasius,大鵟,II,珍貴稀有
